ANIO FISCAL;ACTIVIDAD ECONÓMICA;TOTAL GASTOS (798);TOTAL COSTOS (797);TOTAL IMPUESTO CAUSADO (839)
2006;C107913;NA;NA;29168.19
2006;C107921;NA;NA;841298.15
2006;C107929;0;0;402459.44
2006;C107931;0;0;11924.72
2006;C107932;NA;NA;84525.4
2006;C107934;NA;NA;666799.6
2006;C107935;86832.72;228887.48;135877.31
2006;C107940;NA;NA;28598.4
2006;C107991;NA;NA;413207.39
2006;C107994;NA;NA;74903.84
2006;C107999;78223.23;427387.05;5436880.94
2006;C108001;13605.78;14128.22;0
2006;C108002;338373.52;679907.21;797360.54
2006;C108003;NA;NA;19797.85
2006;C110101;0;0;511191.36
2006;C110102;0;0;326971.41
2006;C110103;0;0;358953.33
2006;C110104;0;9600;281247.88
2006;C110105;351240.1;40220.13;55311.88
2006;C110201;NA;NA;22603.64
2006;C110202;60236.65;205131.72;216025.76
2006;C110203;0;0;0
2006;C110301;NA;NA;20971311.8
2006;C110401;11217248.98;19181637.23;371381.58
2006;C110402;687974.93;2578226.11;61896.64
2006;C110404;NA;NA;25717.34
2006;C120001;NA;NA;613218.55
2006;C131101;NA;NA;43872.58
2006;C131102;381416.7;7464012.3;466676.1
2006;C131201;NA;NA;119309.48
2006;C131202;NA;NA;16109.14
2006;C131203;NA;NA;38.35
2006;C131209;971194.82;3741200.34;38154.31
2006;C131303;26124.69;0;14899.3
2006;C131304;NA;NA;29835.33
2006;C139101;NA;NA;103671.3
2006;C139201;123425.72;1312496.26;219004.55
2006;C139202;NA;NA;68652.42
2006;C139203;0;0;237038.15
2006;C139205;NA;NA;442.4
2006;C139301;NA;NA;305860.17
2006;C139401;0;0;53288.99
2006;C139402;NA;NA;20314.78
2006;C139901;NA;NA;2765.68
2006;C139903;NA;NA;33531.76
2006;C139905;NA;NA;7346.16
2006;C139906;4280886.59;21767578.79;200367.65
2006;C141001;259020.79;1431190.57;1103495.25
2006;C141002;NA;NA;1058834.03
2006;C141003;NA;NA;17568.61
2006;C141004;978.19;0;46453.76
2006;C141005;NA;NA;48955.2
2006;C141006;0;0;8504.87
2006;C141009;NA;NA;498540.03
2006;C142001;NA;NA;19287.5
2006;C142002;NA;NA;13342.49
2006;C142004;NA;NA;1172.75
2006;C143001;370.99;NA;175905.3
2006;C143002;NA;NA;146781.04
2006;C151101;NA;NA;3742.67
2006;C151102;NA;NA;12604.2
2006;C151201;0;0;28762.82
2006;C151209;NA;NA;48757.86
2006;C152001;0;0;142595.14
2006;C152002;NA;NA;12278.07
2006;C161001;NA;NA;91261.43
2006;C161002;NA;NA;31113.13
2006;C161003;0;0;3753.11
2006;C161009;NA;NA;5508.74
2006;C162101;25582.64;20029.37;1438585.66
2006;C162201;NA;NA;12298.48
2006;C162202;150114.5;272714.75;48252.6
2006;C162203;NA;NA;3504.13
2006;C162204;NA;NA;1186.94
2006;C162301;NA;NA;10115.4
2006;C162302;0;0;1762.49
2006;C162911;NA;NA;3386.62
2006;C162914;NA;NA;13627.13
2006;C162915;NA;NA;19960.68
2006;C162918;NA;NA;18687.92
2006;C162919;0;0;7600.55
2006;C162923;NA;NA;14506.44
2006;C170102;NA;NA;0
2006;C170103;8973889.13;64192122.83;2091852.27
2006;C170110;NA;NA;3405.75
2006;C170112;0;0;0
2006;C170113;NA;NA;24109.37
2006;C170201;NA;NA;480077.62
2006;C170202;NA;NA;56915.94
2006;C170203;NA;NA;10445.56
2006;C170911;NA;NA;591400.66
2006;C170912;NA;NA;9829.8
2006;C170915;NA;NA;4981.08
2006;C170921;NA;NA;4656.12
2006;C170923;NA;NA;70280.33
2006;C170924;1716.17;0;135343.51
2006;C170925;882352.56;7844595.53;44598.69
2006;C170929;NA;NA;452095.48
2006;C181101;19180732.91;21031336.55;673564.26
2006;C181102;0;0;64272.2
2006;C181104;446960.52;209442.94;270185.6
2006;C181106;NA;NA;12389.19
2006;C181201;1905079.8;2672266.1;1255112.78
2006;C181202;NA;NA;4307.02
2006;C181205;NA;NA;20.11
2006;C181209;NA;NA;5794.66
2006;C182002;0;0;617.5
2006;C182003;62139.41;0;7865.64
2006;C192002;NA;NA;1520849.22
2006;C192003;NA;NA;133462.05
2006;C192006;NA;NA;3018.99
2006;C192009;0;53288.46;70.38
2006;C201111;NA;NA;1563932.24
2006;C201112;NA;NA;30.73
2006;C201113;0;0;68938.82
2006;C201119;NA;NA;31485.11
2006;C201121;NA;NA;0
2006;C201191;NA;NA;195641.19
2006;C201193;NA;NA;293.01
2006;C201198;1675513.77;3422381.61;398913.63
2006;C201201;NA;NA;17995.3
2006;C201203;NA;NA;3966.14
2006;C201204;NA;NA;1351.54
2006;C201311;NA;NA;2728088.04
2006;C201313;0;0;157059.24
2006;C201321;NA;NA;3647.33
2006;C202101;512314.22;297404.01;61689.03
2006;C202102;NA;NA;3777.47
2006;C202103;NA;NA;62621.05
2006;C202109;541779.18;720098.91;133396.23
2006;C202201;1025618.83;4577293.89;1222760.65
2006;C202204;NA;NA;57661.27
2006;C202205;NA;NA;3509.03
2006;C202311;0;0;20923.17
2006;C202312;0;0;426531.2
2006;C202321;NA;NA;52168.77
2006;C202322;NA;NA;929.9
2006;C202331;0;0;7125464.05
2006;C202332;NA;NA;25144.93
2006;C202339;NA;NA;24932.17
2006;C202911;NA;NA;1832.07
2006;C202912;NA;NA;644769.57
2006;C202913;15740.08;44693.19;158302.55
2006;C202915;NA;NA;4097.12
2006;C202916;NA;NA;195217.23
2006;C202920;NA;NA;2797.96
2006;C202991;0;0;829055.39
2006;C202993;NA;NA;8250.79
2006;C202994;16382.26;34537.49;62229.48
2006;C210001;14298777.09;28728706.6;2614271.67
2006;C210005;0;0;86541.55
2006;C221101;NA;NA;399327.51
2006;C221103;NA;NA;60350.33
2006;C221901;NA;NA;19956.81
2006;C221903;124.46;NA;NA
2006;C221909;0;0;56133.4
2006;C222011;399156.85;4507836.33;932795.12
2006;C222012;NA;NA;30455.02
2006;C222021;0;0;3887215.77
2006;C222022;NA;NA;3512.73
2006;C222023;NA;NA;569.5
2006;C222024;3881848.26;18130278.82;1932947.19
2006;C222091;0;10994.93;990726.4
2006;C222092;NA;NA;12895.38
2006;C222093;0;6096.44;4213.83
2006;C222094;NA;NA;11796.85
2006;C222095;NA;NA;1278.63
2006;C222096;NA;NA;13416.71
2006;C222097;NA;NA;1.84
2006;C222099;NA;NA;7717.2
2006;C231011;0;0;146060.7
2006;C231021;NA;NA;2034350.5
2006;C231022;NA;NA;1380.72
2006;C231023;NA;NA;27026.76
2006;C231024;NA;NA;1939.18
2006;C231027;NA;NA;576.67
2006;C231029;41.43;0;5395
2006;C239101;11029.16;31091.69;284777.97
