Fecha "Riesgo País"
2004-07-29T00:00:00Z 870
2004-07-30T00:00:00Z 852
2004-07-31T00:00:00Z 852
2004-08-01T00:00:00Z 852
2004-08-02T00:00:00Z 872
2004-08-03T00:00:00Z 869
2004-08-04T00:00:00Z 869
2004-08-05T00:00:00Z 849
2004-08-06T00:00:00Z 842
2004-08-07T00:00:00Z 842
2004-08-08T00:00:00Z 842
2004-08-09T00:00:00Z 827
2004-08-10T00:00:00Z 830
2004-08-11T00:00:00Z 851
2004-08-12T00:00:00Z 846
2004-08-13T00:00:00Z 831
2004-08-14T00:00:00Z 831
2004-08-15T00:00:00Z 831
2004-08-16T00:00:00Z 832
2004-08-17T00:00:00Z 841
2004-08-18T00:00:00Z 840
2004-08-19T00:00:00Z 830
2004-08-20T00:00:00Z 822
2004-08-21T00:00:00Z 822
2004-08-22T00:00:00Z 822
2004-08-23T00:00:00Z 830
2004-08-24T00:00:00Z 814
2004-08-25T00:00:00Z 823
2004-08-26T00:00:00Z 826
2004-08-27T00:00:00Z 826
2004-08-28T00:00:00Z 826
2004-08-29T00:00:00Z 826
2004-08-30T00:00:00Z 812
2004-08-31T00:00:00Z 813
2004-09-01T00:00:00Z 815
2004-09-02T00:00:00Z 812
2004-09-03T00:00:00Z 809
2004-09-04T00:00:00Z 809
2004-09-05T00:00:00Z 809
2004-09-06T00:00:00Z 809
2004-09-07T00:00:00Z 816
2004-09-08T00:00:00Z 821
2004-09-09T00:00:00Z 849
2004-09-10T00:00:00Z 848
2004-09-11T00:00:00Z 848
2004-09-12T00:00:00Z 848
2004-09-13T00:00:00Z 844
2004-09-14T00:00:00Z 825
2004-09-15T00:00:00Z 806
2004-09-16T00:00:00Z 798
2004-09-17T00:00:00Z 791
2004-09-18T00:00:00Z 791
2004-09-19T00:00:00Z 791
2004-09-20T00:00:00Z 765
2004-09-21T00:00:00Z 773
2004-09-22T00:00:00Z 773
2004-09-23T00:00:00Z 775
2004-09-24T00:00:00Z 786
2004-09-25T00:00:00Z 786
2004-09-26T00:00:00Z 786
2004-09-27T00:00:00Z 785
2004-09-28T00:00:00Z 790
2004-09-29T00:00:00Z 778
2004-09-30T00:00:00Z 778
2004-10-01T00:00:00Z 777
2004-10-02T00:00:00Z 777
2004-10-03T00:00:00Z 777
2004-10-04T00:00:00Z 734
2004-10-05T00:00:00Z 730
2004-10-06T00:00:00Z 728
2004-10-07T00:00:00Z 705
2004-10-08T00:00:00Z 700
2004-10-09T00:00:00Z 700
2004-10-10T00:00:00Z 700
2004-10-11T00:00:00Z 700
2004-10-12T00:00:00Z 685
2004-10-13T00:00:00Z 704
2004-10-14T00:00:00Z 727
2004-10-15T00:00:00Z 711
2004-10-16T00:00:00Z 711
2004-10-17T00:00:00Z 711
2004-10-18T00:00:00Z 705
2004-10-19T00:00:00Z 726
2004-10-20T00:00:00Z 734
2004-10-21T00:00:00Z 751
2004-10-22T00:00:00Z 742
2004-10-23T00:00:00Z 742
2004-10-24T00:00:00Z 742
2004-10-25T00:00:00Z 754
2004-10-26T00:00:00Z 761
2004-10-27T00:00:00Z 758
2004-10-28T00:00:00Z 744
